E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:05, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:21, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:21, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:21, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:21, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:21, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:21, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:21, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:21, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:21, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:08:21, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
